Feature 1,Feature 2,Feature3,Feature 4 ,Feature 5,Feature 6,Feature 7,Result
0.55,8.29,196.22,0.27,0.85,1.00,2.02,198.48
0.25,3.09,623.29,0.23,0.24,1.00,2.02,74.82
0.91,7.17,252.55,0.09,0.02,1.00,2.02,184.95
0.21,8.58,845.74,0.60,0.50,1.00,2.02,190.17
0.36,-0.13,526.67,0.20,0.35,1.00,2.02,16.18
0.40,3.53,956.66,0.97,0.31,1.00,2.02,96.95
0.41,4.70,229.63,0.82,0.87,1.00,2.02,124.16
0.41,6.31,796.59,0.51,0.36,1.00,2.02,142.10
0.26,1.61,836.24,0.47,0.08,1.00,2.02,49.19
0.69,7.79,103.81,0.63,0.69,1.00,2.02,183.78
0.39,8.84,555.55,0.09,0.74,1.00,2.02,201.89
0.36,1.27,825.03,0.46,0.41,1.00,2.02,53.14
0.25,-0.13,607.46,0.92,0.91,1.00,2.02,7.84
0.69,0.59,317.74,0.78,0.45,1.00,2.02,46.91
0.82,2.29,669.60,0.97,0.69,1.00,2.02,73.55
0.14,3.17,808.09,0.17,0.49,1.00,2.02,72.35
0.99,-0.24,178.30,0.09,0.22,1.00,2.02,38.56
0.94,4.05,152.09,0.24,0.74,1.00,2.02,122.18
0.14,1.56,141.52,0.57,0.43,2.00,2.05,37.71
0.15,4.48,576.57,0.47,0.53,2.00,2.05,105.55
0.57,3.95,1009.47,0.81,0.24,2.00,2.05,98.44
0.32,4.23,406.94,0.57,0.55,2.00,2.05,106.99
0.09,9.26,762.60,0.61,0.49,3.00,2.07,200.35
0.85,5.43,459.08,0.37,0.16,3.00,2.07,138.90
0.53,1.00,400.27,0.54,0.68,3.00,2.07,41.01
0.47,7.02,681.28,0.01,0.23,3.00,2.07,171.43
0.92,1.62,688.31,0.54,0.77,3.00,2.07,56.01
0.20,0.73,888.69,0.12,0.47,4.00,2.09,33.13
0.49,2.82,553.66,0.89,0.62,4.00,2.09,83.22
0.67,7.14,14.26,0.01,0.09,4.00,2.09,164.65
0.05,6.28,299.77,0.16,0.79,4.00,2.09,136.78
0.47,8.78,413.74,0.72,0.93,4.00,2.09,198.43
0.34,7.63,380.19,0.88,0.07,4.00,2.09,168.44
0.04,0.77,167.02,0.54,0.08,4.00,2.09,32.25
0.99,3.94,220.09,0.29,0.51,7.00,2.16,112.14
0.24,7.56,258.03,0.36,0.97,7.00,2.16,166.27
0.27,6.09,342.41,0.89,0.98,7.00,2.16,138.75
0.77,9.50,682.92,0.63,0.03,7.00,2.16,217.71
0.01,1.19,898.06,0.10,0.46,7.00,2.16,33.16
0.84,3.56,647.87,0.03,0.52,7.00,2.16,103.92
0.50,0.59,606.57,0.53,0.14,7.00,2.16,39.93
0.72,7.39,206.39,0.22,0.04,7.00,2.16,181.34
0.29,8.30,1001.22,0.28,0.95,6.00,2.14,176.51
